"","SRR6915091_500K_merged_Abundance","SRR6915092_500K_merged_Abundance","SRR6915093_500K_merged_Abundance","SRR6915094_500K_merged_Abundance","SRR6915095_500K_merged_Abundance","SRR6915096_500K_merged_Abundance","SRR6915097_500K_merged_Abundance","SRR6915098_500K_merged_Abundance","SRR6915099_500K_merged_Abundance","SRR6915100_500K_merged_Abundance","SRR6915101_500K_merged_Abundance","SRR6915102_500K_merged_Abundance","SRR6915113_500K_merged_Abundance","SRR6915115_500K_merged_Abundance","SRR6915116_500K_merged_Abundance","SRR6915118_500K_merged_Abundance","SRR6915119_500K_merged_Abundance","SRR6915120_500K_merged_Abundance","SRR6915121_500K_merged_Abundance","SRR6915122_500K_merged_Abundance","SRR6915123_500K_merged_Abundance","SRR6915124_500K_merged_Abundance","SRR6915137_500K_merged_Abundance","SRR6915138_500K_merged_Abundance","SRR6915139_500K_merged_Abundance","SRR6915140_500K_merged_Abundance","SRR6915141_500K_merged_Abundance","SRR6915142_500K_merged_Abundance","SRR6915143_500K_merged_Abundance","SRR6915144_500K_merged_Abundance","SRR6915145_500K_merged_Abundance","SRR6915146_500K_merged_Abundance","SRR6915157_500K_merged_Abundance","SRR6915158_500K_merged_Abundance","SRR6915159_500K_merged_Abundance","SRR6915160_500K_merged_Abundance","SRR6915161_500K_merged_Abundance","SRR6915162_500K_merged_Abundance","SRR6915163_500K_merged_Abundance","SRR6915164_500K_merged_Abundance","SRR6915165_500K_merged_Abundance","SRR6915166_500K_merged_Abundance","SRR6915188_500K_merged_Abundance","SRR6915189_500K_merged_Abundance","SRR6915190_500K_merged_Abundance","SRR6915191_500K_merged_Abundance","SRR6915192_500K_merged_Abundance","SRR6915193_500K_merged_Abundance","SRR6915194_500K_merged_Abundance","SRR6915201_500K_merged_Abundance","SRR6915202_500K_merged_Abundance","SRR6915203_500K_merged_Abundance","SRR6915204_500K_merged_Abundance","SRR6915205_500K_merged_Abundance","SRR6915206_500K_merged_Abundance","SRR6915207_500K_merged_Abundance","SRR6915208_500K_merged_Abundance","SRR6915209_500K_merged_Abundance","SRR6915210_500K_merged_Abundance","SRR6915211_500K_merged_Abundance","SRR6915212_500K_merged_Abundance","SRR6915213_500K_merged_Abundance","SRR6915214_500K_merged_Abundance","SRR6915215_500K_merged_Abundance","SRR6915216_500K_merged_Abundance","SRR6915217_500K_merged_Abundance","SRR6915218_500K_merged_Abundance","SRR6915219_500K_merged_Abundance","SRR6915220_500K_merged_Abundance","SRR6915221_500K_merged_Abundance","SRR6915222_500K_merged_Abundance","SRR6915223_500K_merged_Abundance","SRR6915224_500K_merged_Abundance","SRR6915225_500K_merged_Abundance","SRR6915226_500K_merged_Abundance","SRR6915227_500K_merged_Abundance","SRR6915228_500K_merged_Abundance","SRR6915229_500K_merged_Abundance","SRR6915230_500K_merged_Abundance"
"COLANSYN-PWY: colanic acid building blocks biosynthesis",0.000176326,0,3.61709e-05,0.00024112,5.35036e-05,0.000196166,8.94874e-05,0.000211109,0.000174131,5.85415e-05,4.43141e-05,0.000140981,0.000108146,0.000100003,9.5676e-05,0,4.78401e-05,0.00011793,3.73239e-05,0,6.7788e-05,5.12283e-05,4.18152e-05,8.45639e-05,9.74778e-05,7.4662e-05,0.000201933,8.77453e-05,0.00010696,0,0,0.000199496,0.000229595,8.02215e-05,9.23158e-05,0.000170804,0,8.00797e-05,0.000216569,9.08343e-05,0,6.67443e-05,8.27709e-05,6.42303e-05,0,7.51258e-05,0.000102927,7.38876e-05,8.40047e-05,0.000205125,4.14849e-05,8.77142e-05,0.000103577,5.80909e-05,0,5.22279e-05,1.74277e-05,9.53842e-05,3.63823e-05,0,0,0.00016071,4.87396e-05,0,6.75375e-05,0,3.89277e-05,0.000186536,6.00152e-05,0.000136216,8.83749e-05,4.73342e-05,4.13164e-05,0.000161861,0,0.000107328,0,0,4.24937e-05
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.000286506,0.000211304,0.000205699,0.000309741,0.000304956,0.00043689,0.00025072,0.000420389,0.000267422,0.000330661,0.000310454,0.000237918,0.000292622,0.000274161,0.000210535,0.000292549,0.000385185,0.000211095,0.000229533,0.00033394,0.000256849,0.000140536,0.000270973,0.000269096,0.000338518,0.00031582,0.000257892,0.000254133,0.000316313,0.000189468,0.000218556,0.000232458,0.000238878,0.000111836,0.000217517,0.000200117,0.000156067,0.000379893,0.000262246,0.000229494,0.000177977,0.000130784,0.000227197,0.000370353,0.00026809,0.000190656,0.000367963,0.000376077,0.000266591,0.000407814,0.000222291,0.00020923,0.000185735,0.000233261,0.000173179,0.000290289,0.000354525,0.000175423,0.000225484,0.000142646,0.000152725,0.000276763,0.000274168,0.000447854,0.000123312,0.000332807,0.000204489,0.000295829,0.000269465,0.00033617,0.000260735,0.000161782,0.000183354,0.000294414,0.000107998,0.000198487,0.00027099,0.000240173,0.000198595
"CRNFORCAT-PWY: creatinine degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAPLYSINESYN-PWY: L-lysine biosynthesis I",0.000190211,0,0,0.000248568,0.000366424,0.000406958,0,0.000396909,6.25044e-05,0,0,0.000118316,0,3.21199e-05,0,0,0,0,5.36726e-05,5.76666e-05,0,2.64232e-05,0.000133737,0,0,0.000122567,0.000224203,0,8.44464e-05,9.0086e-05,4.63645e-05,0.000134513,0.000187224,0,0,0.000180411,0,0,0,0,0,0,6.9389e-05,4.63534e-05,0,0,0,0,7.18589e-05,9.39879e-05,0,0.000113506,5.85258e-05,5.60474e-05,0.000127587,0,0,8.35867e-05,0,0,0,0.000148695,0,5.50082e-05,9.87855e-05,0,8.53475e-05,0.000398373,4.35407e-05,0.000258243,0.000103594,0,0,0.000312507,0,0,3.70966e-05,5.15074e-05,0
"DARABCATK12-PWY: D-arabinose degradation I",0,0,0,6.21007e-05,8.55442e-05,0,0,0,0,0,0,1.23274e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27068e-06,0,0,0,0,8.4384e-06,3.78767e-05,0,0,1.35872e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.8211e-05,2.94797e-05,0,0,0,0,0,0,0,0,0,0,0,3.39348e-06,0,0,0,0,0,6.94103e-05,0,6.44891e-06,1.53552e-05,0,0,0.000110665,0,0,0,0,0
"DENITRIFICATION-PWY: nitrate reduction I (denitrification)",0,0,0,2.36777e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42046e-05,0,0,0,0,0,0,0,0,0,1.68862e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74839e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74346e-05,0,0,0,0,0,0,0,0,0,0,0
"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II",0,0,0,0.000192082,0.000200008,0.000313782,0,0.000331353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141275,0,0,0,0,0,0.000131768,0,0,8.56145e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86291e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164652,0,0,0,0,0,0.000105842,0,0,0,0,0
"DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",0.000513909,0.000300751,0.00082085,0.000519533,0,0.000133266,0.000616495,0,0.000332987,0.000390133,0.000407372,0.00043659,0.000351313,0.000479413,0.0002517,0.000622074,0.00150527,0.000550597,0.000342522,0.000644144,0.000311401,0.000284038,0.000468566,0.000796885,0.000569225,0.000593644,0.000275373,0.000612513,0.000409924,0.000435588,0.00107405,0.000378983,0.000332749,0.000345694,0.00028433,0.000416966,0.000535042,0.000458724,0.000620467,0.000422572,0.0024293,0.000312881,0.000312922,0.000397363,0.000752154,0.00102114,0.000408016,0.000469723,0.000410796,0.000554771,0.000433224,0.000243078,0.000282569,0.000473436,0.000211563,0.000367932,0.000470762,0.000275935,0.000313805,0.00020766,0.00063661,0.000285986,0.000396062,0.000648647,0.000505807,0.000593044,0.000322879,0.000197365,0.000446373,0.000380065,0.000378609,0.000440476,0.000660443,0.000178813,0.00075787,0.00043397,0.00247369,0.000457515,0.0011374
"ECASYN-PWY: enterobacterial common antigen biosynthesis",3.65727e-05,0,0,3.04437e-05,0.000140762,0.000312137,0,0.000423396,0,0,0,1.39389e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3206e-05,0,0,0,0,0,0,0,0,4.19569e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76787e-05,0,0,0,0,0,4.01114e-05,0,0,0,0,0,0,0,0,0,0.000148656,0,1.9535e-05,0,0,0,7.97114e-05,0,0,0,0,0
"FAO-PWY: fatty acid &beta;-oxidation I (generic)",0.000116328,0,0,0.000181212,0.000376788,0.000571592,0,0.000691915,0,0,0,8.23118e-05,0,0,0,0,0,0,0,0,0,2.87784e-05,0,0,0,0,0.00020095,0,0,0,0,8.24655e-05,0.000137165,1.32385e-05,0,0.0001229,0,0,2.17405e-05,0,0,0,0,0,0,0,0,0,0,0.000108615,0,0.000100798,0,0,0,0,0,6.32862e-05,0,0,0,6.59747e-05,0,1.34218e-05,0,0,0,0.000408414,0,8.21662e-05,0,0,0,0.000244368,0,0,0,0,0
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",0.000325748,4.43497e-05,7.53097e-05,0.000366455,0.000332365,0.000468191,0,0.000461138,8.78363e-05,0.000118932,0.000139872,0.000229222,0.000113203,0.000221347,5.41426e-05,0,0.000565279,0.000142463,0.000104415,0.000113647,8.91294e-05,6.33729e-05,0.000237806,0.00011233,0.000168347,0.000246503,0.00027988,0.000164131,5.41292e-05,0,8.05609e-05,0.000341666,0.000304129,0.000110634,0,0.000214174,0,0.000117518,0.000139709,0.000149517,0,0,5.01666e-05,4.02543e-05,7.81101e-05,5.79566e-05,0,4.7782e-05,9.50982e-05,0.000244108,0.000150816,0.000145589,0.000133614,0.000127538,6.71552e-05,0,0.000178579,0.000148714,0,6.94798e-05,0,0.000159251,0,0.000131898,0,0,0.000106129,0.000494301,0,0.000183439,9.89942e-05,0,8.04384e-05,0.000384036,0,0.000123808,0,0.000119154,0
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",0,0,0,0,0,8.57763e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06557e-05,0,9.32617e-05,0,0,0,0,0,0,0,0,0
"FERMENTATION-PWY: mixed acid fermentation",0.000149228,0,4.20317e-05,0.000155686,0.00044828,0.000418312,0,0.000443237,0,0,4.07219e-05,0.000113121,0.000138443,0,0,4.30765e-05,2.86273e-05,5.95198e-05,6.56176e-05,0.000107724,0.000103427,8.61555e-05,5.97733e-05,0,0,0,0.000201217,0,0.000100391,3.19493e-05,4.39327e-05,0.000136209,0.000111657,5.85838e-05,9.56077e-05,0.000183871,0,0.000128217,5.22514e-05,0,0,0,0,0,0.000118736,4.7831e-05,0,0.000145849,4.25697e-05,4.0328e-05,0,0.000158036,0.000134551,3.60432e-05,0,0.000100567,0,0.000100961,0.000134333,0,0,0.000158308,0,7.37168e-05,0,0,7.40747e-05,0.000354517,3.1615e-05,0.000133737,0,9.27582e-05,0,0.000212576,0,5.91154e-05,4.95169e-05,0,0.000401405
"FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage",3.14981e-05,0,0,6.96787e-05,0.000187716,0,0,0,0,0,0,6.96675e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123474,0,0,0,0,6.98294e-05,1.70217e-05,0,0,9.72481e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130459,0,0,0,0,0,5.81181e-05,0,0,0,0,0
"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation",0.000105687,0,0,0.000111527,0.000264888,6.1309e-05,0,0,5.45905e-05,6.16998e-05,0,0.000102262,4.95499e-05,0,0,0,0,0,0,0,0,0,4.39925e-05,0,0,0,0.0001761,0,0,0,0,0.000105793,0.000135223,5.7789e-05,0,8.50386e-05,0,0,0,0,0,0,0,0,0,0,0,0,5.31275e-05,2.86329e-05,0,8.33307e-05,4.19738e-05,0,0,0,0,7.36184e-05,0,0,0,0.00010286,4.62357e-05,0,0,0,0,0.000133046,0,7.51231e-05,7.37274e-05,0,0,0.000157711,0,0,0,0,0
"FUCCAT-PWY: fucose degradation",8.69981e-05,0,0,0.000109998,0.000345988,3.70402e-05,0,1.54867e-05,3.48564e-05,4.13947e-05,0,9.3854e-05,2.92002e-05,0,5.94553e-05,0,0,0,0,0,6.34955e-05,3.46432e-05,4.31583e-05,0,0,0,0.000191905,0,0,0,3.01688e-05,6.83039e-05,0.000128419,3.324e-05,0,6.63606e-05,0,0,0,3.2089e-05,0,0,0,0,0,0,0,0,5.28005e-05,2.66942e-05,0,8.67166e-05,4.2962e-05,0,0,0,0,5.85854e-05,0,0,0,8.65355e-05,2.77654e-05,0,0,0,0,0.000175187,0,0.000100327,5.29124e-05,0,0,0.000221788,3.4821e-05,0,0,0,0
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",0,0,0,8.07701e-05,0.000160234,0,0,0,7.7415e-05,5.59899e-05,0,7.00492e-05,0,0,0,0,0,0,5.03099e-05,0,0,0,0,0,0,5.94182e-05,7.46209e-05,0,0,3.54022e-05,0,2.06605e-05,0.000102409,0,7.57217e-05,9.37028e-05,0,0,2.63441e-05,0,0,0,0,0,0,0,0,0,5.3837e-05,0,0,4.16196e-05,7.4635e-05,0,0,0,0,4.19877e-05,0,0,0,0,0,0,0,0,0,0.000175029,0,8.49472e-05,5.17903e-05,0,0,0.000114534,5.46719e-05,0,0,0,0
"GALACTARDEG-PWY: D-galactarate degradation I",0.000105746,0,0,0.000215465,0.000430789,0.000341269,0,0.000390915,0,0,0,5.33325e-05,0,0,0,0,0,0,0,0,0,0,6.67478e-05,0,0,0,0.000293517,0,0,0,1.28954e-05,0.000117291,0.000218798,0,2.52511e-05,0.000176048,0,0,5.60778e-05,0,0,0,0,0,0,0,0,0,0,6.38151e-05,0,4.75629e-05,0,0,0,0,0,2.08067e-05,0,0,0,3.7562e-05,0,6.25063e-05,0,0,0,0.000212008,0,0.00020207,5.84612e-05,0,0,0.000311098,0,0,2.5114e-05,0,0
"GALACTITOLCAT-PWY: galactitol degradation",0,0,0,7.29139e-05,0,2.24586e-05,0,0,2.54264e-05,0,0,7.8437e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35201e-05,0,0,0,0,3.7178e-05,8.20277e-05,0,0,5.84691e-05,0,0,0,0,0,0,3.06341e-05,0,0,0,0,0,0,3.53441e-05,0,0,2.866e-05,0,0,0,0,0,0,0,0,3.03942e-05,0,1.41513e-05,0,0,0,0.000137743,0,2.9897e-05,0,0,0,0.000116327,0,0,0,0,0
"GALACTUROCAT-PWY: D-galacturonate degradation I",0,0,0,0.000179951,0.000165724,1.03808e-05,8.38878e-05,0,8.28828e-05,4.57092e-05,0,8.85147e-05,4.58088e-05,0,0,4.17844e-05,0,0,4.83766e-05,0,5.05892e-05,0,0,3.87636e-05,6.81426e-05,6.38665e-05,5.8035e-05,2.67224e-05,5.05385e-05,5.56356e-05,2.30779e-05,1.91095e-05,8.99777e-05,0,8.89954e-05,9.9789e-05,0,0.000161828,3.67422e-05,0.000110636,0,2.74871e-05,3.56346e-05,3.30675e-05,7.2284e-05,4.30678e-05,6.00573e-05,9.46862e-05,4.81258e-05,2.13159e-05,0,6.4812e-05,9.70624e-05,4.97026e-05,5.73425e-05,0,7.58261e-05,7.40356e-05,0,0,8.41584e-05,4.0326e-05,0,1.53183e-05,0,0,2.92094e-05,0.00024444,6.8795e-05,0.000163228,9.386e-05,3.25871e-05,2.84516e-05,0.000119717,4.8398e-05,0.00011259,0,8.74775e-05,0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0.000142235,0,0,0.000168382,0.000242154,0.000368119,5.67393e-05,0.000446703,0.000135721,7.03744e-05,0,0.000122857,0.000129503,2.34784e-05,0,3.99562e-05,3.06845e-05,0,6.56954e-05,0,0,3.63738e-05,3.48199e-05,0,0.000129882,5.33833e-05,0.000217513,0,0.000140075,2.36001e-05,0,0.000236542,0.000172907,0,0.000100009,0.000137294,0,8.32333e-05,0.000323335,3.07064e-05,0,3.27948e-05,0.000138726,0.000102001,3.52254e-05,0,8.64675e-05,7.13845e-05,4.12682e-05,6.30787e-05,0,0.000171282,6.77921e-05,3.12349e-05,6.47239e-05,5.59587e-05,0,0.000121951,0,0,6.86909e-05,0.000277212,8.50438e-05,1.69612e-05,7.97857e-05,5.6071e-05,3.94209e-05,0.000223599,6.4142e-05,0.000217343,0,5.07846e-05,2.89446e-05,0.000154088,0,0.000149032,3.48663e-05,0.000106751,0
"GLUCARDEG-PWY: D-glucarate degradation I",9.75646e-05,0,0,0.000165708,0.000255123,0.000297936,0,0.000352968,0,0,0,4.41175e-05,0,0,0,0,0,0,0,0,0,0,5.01618e-05,0,0,0,0.000142556,0,0,0,1.26202e-05,7.22203e-05,8.91852e-05,0,2.34973e-05,0.000158113,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64375e-05,0,3.9932e-05,0,0,0,0,0,1.80317e-05,0,0,0,3.64416e-05,0,5.35916e-05,0,0,0,0.00011888,0,6.14594e-05,3.27975e-05,0,0,0.000203129,0,0,0,0,0
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",0.000105746,0,0,0.000215465,0.000430789,0.000341269,0,0.000390915,0,0,0,5.33325e-05,0,0,0,0,0,0,0,0,0,0,6.67478e-05,0,0,0,0.000293517,0,0,0,1.28954e-05,0.000117291,0.000218798,0,2.52511e-05,0.000176048,0,0,5.60778e-05,0,0,0,0,0,0,0,0,0,0,6.38151e-05,0,4.75629e-05,0,0,0,0,0,2.08067e-05,0,0,0,3.7562e-05,0,6.25063e-05,0,0,0,0.000212008,0,0.00020207,5.84612e-05,0,0,0.000311098,0,0,2.5114e-05,0,0
"GLUCONEO-PWY: gluconeogenesis I",0.000277117,0.000144072,0,0.000288895,0.000359638,0.000403593,0.000155404,0.000447105,0.000109519,0.000143525,0.000107393,0.000233327,0,0.000179644,9.81977e-05,0,0,0.000278228,0.000205465,0.000118932,0.000155585,7.77873e-05,0.000119397,0.000234094,0.000132259,0,0.000251335,0.000115715,0.000286012,0.000105958,0.000172466,0.000222442,0.000214453,0.000178493,0.000154961,0.000192921,0.000243714,0,0.00010972,0.000186502,0,0.000110787,0.000163153,0.00019238,0,0,0.0001959,0.000163262,0.000165449,0.000247179,0,0.000257179,0.000172943,0.000221812,0.000213908,0,0.000195312,0.000174566,0,0.000190948,0,0.00016387,9.3959e-05,9.21596e-05,0.000364705,7.0205e-05,0.000153313,0.000314451,9.59946e-05,0.00024578,8.73529e-05,0,0.000124109,0.000264014,0,0,0.000138719,2.50084e-05,0.000159552
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",0.000159132,0,0,0.000224333,0.000470109,0.000508015,0,0.000458876,0.000226811,0,0,0.000138124,0,0,0,0,0,0,0,0,0,3.12889e-05,5.04336e-05,0,4.63903e-05,0,0.000159466,0,0,0,0.000337445,0.000129199,0.000160824,0.000141997,0.000124554,0.000191594,0,6.8228e-05,0.000200437,0.000133927,0,0,9.74394e-05,0,0,0,0,8.98601e-05,8.7856e-05,5.37105e-05,0,0.000114255,8.27519e-05,0,0,0,0,0.000127056,0,0,0,0.000433299,7.99847e-05,3.17043e-05,0,5.12087e-05,6.15093e-05,0.000317421,6.72715e-05,0.000266783,6.37846e-05,0,0,0.000233489,0,0,0,2.18952e-05,0.000416936
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation",0,0,0,0.000209417,0.000177426,1.11049e-05,0.000102031,0,0.000100044,5.63412e-05,0,0.000116586,6.7872e-05,0,0,3.75502e-05,4.34377e-05,3.05034e-05,7.23805e-05,8.95106e-05,5.13465e-05,3.74533e-05,0,4.57954e-05,0.000104681,7.53703e-05,6.27485e-05,3.58276e-05,9.62008e-05,3.55046e-05,3.92618e-05,2.29475e-05,0.000104,5.60965e-05,0.000120791,0.000103186,0,0.000146814,3.83311e-05,0.000117782,0,3.4327e-05,3.98912e-05,0.000102937,0.000104429,6.5031e-05,0.000113031,8.74686e-05,0.000124379,3.83763e-05,0,3.80436e-05,0.000123588,6.25718e-05,5.82787e-05,0,9.79498e-05,4.09218e-05,4.01481e-05,4.88948e-05,8.95324e-05,4.25091e-05,5.36648e-05,2.54954e-05,0,5.76525e-05,8.90766e-05,0.000245897,0.000143598,0.000116932,6.4424e-05,5.03569e-05,0,0.000106717,5.66551e-05,0.000130279,6.25973e-05,8.54272e-05,0
"GLUDEG-I-PWY: GABA shunt",0.000162367,0,0,1.24816e-05,4.83001e-05,2.1034e-05,0,0,1.62251e-05,7.80356e-05,0,3.54891e-05,0,2.8848e-05,6.42113e-05,0,0,5.18019e-05,0,0,0,6.10953e-05,5.14069e-05,0,3.28796e-05,0,0.00015725,5.68858e-05,4.31598e-05,0,0,4.6692e-05,5.62623e-05,6.69207e-05,2.95514e-05,0.000115303,0,0,0,7.9304e-05,0,0,0,0,0,0,0,0,7.27103e-05,3.35352e-05,0,8.38438e-05,4.89265e-05,0,0,0,0,7.67456e-05,0,0,0,2.36016e-05,0,2.7431e-05,0,0,2.56326e-05,2.78775e-05,0,6.32057e-05,0,0,0,3.78416e-05,0,8.04775e-05,0,0,0
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000257309,0.00010036,9.27151e-05,0.000259499,0.000308936,0.00045599,0.000192718,0.000515436,0.000267617,0.000167069,6.6727e-05,0.0002073,0.000283163,5.60762e-05,0.000213441,0.000166475,0.000404146,0.000186958,0.000299454,0.000134011,0.000146757,8.16077e-05,0.000216769,5.37352e-05,0.000169751,0.000140595,0.00025369,0.000172772,0.000255255,0.000119358,7.41237e-05,0.000242596,0.000201697,6.19574e-05,0.000150228,0.000194334,4.84387e-05,0.000412066,7.55323e-05,0.000274159,6.10215e-05,7.43542e-05,0.000141304,0.00032234,0.0001845,0.000121006,0.000310459,0.000329856,7.48999e-05,0.000122205,9.79028e-05,0.000165375,0.000156381,9.35138e-05,0.000296292,0.000128781,4.85635e-05,0.00018087,0.000137336,0.000105655,0.000422513,0.000243047,0.000206147,8.98637e-05,0.000135149,0.000238616,0.000150596,0.000284301,0.000181709,0.000409548,0.000230823,0.000174556,0.000120716,0.000300782,0.000143911,0.000365542,0.00015933,0.000152729,0.000398275
"GLYCOCAT-PWY: glycogen degradation I",0.000216767,0,5.71602e-05,0.000210152,0.000196109,0.000377059,7.6589e-05,0.000361546,0.000165762,8.4406e-05,5.16427e-05,3.63511e-05,3.82574e-05,9.49993e-05,4.91313e-05,0,6.83491e-05,6.8005e-05,0,6.5459e-05,0,7.81859e-05,0,3.75983e-05,5.30644e-05,7.25427e-05,8.57145e-05,0,9.47489e-05,5.79881e-05,0,1.17151e-05,4.45884e-05,1.77216e-05,3.86547e-05,8.44239e-05,0,0,0.000109333,0.000106616,0,3.97821e-05,2.13898e-05,0,0.000140114,4.38304e-05,0,0,0.000119887,2.84592e-05,0,7.6964e-05,0.000113576,0.000110305,0,9.59739e-05,5.25282e-05,6.60953e-05,6.25288e-05,0,0,1.61326e-05,0,0,0.000145364,0,6.27604e-05,0.000175424,0.000105632,0.000116459,0.000120486,0,0,0.000134819,0,0,0,0,5.52595e-05
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",0.000185832,0.000228066,9.47094e-05,0.000191521,0.000379938,0.000435601,0.000438965,0.000459416,0.000284956,0.000221209,7.97693e-05,0.000181216,0.000433287,8.8026e-05,0.000230242,0.000133578,6.6459e-05,0.000155554,0.000415546,0.000108377,0.00036482,0.000156222,0.000118644,4.3744e-05,0.000268979,0.00014014,0.000301052,0.000149178,0.000310021,0.000274612,0.000126811,0.000241389,0.000301924,0.000174299,0.000291093,0.000239504,0,0.000466744,0.000245196,0.000327441,1.75718e-05,0.000106332,0.000258157,0.000313765,0.000190588,0.000170266,0.000310303,0.000388092,0.000119971,0.000147183,0,0.000186295,0.000248624,9.94092e-05,0.000277516,0.000351569,4.95334e-05,0.00024221,0.000272435,0.000108958,0.000314336,0.000513529,0.00035334,0.00038626,0.000131166,0.000510796,0.000226841,0.000279982,0.000270808,0.000358638,0.000152293,0.000191924,7.88756e-05,0.000284641,9.85379e-05,0.000480896,0.0002297,0.000331312,0.00057337
"GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation",0,0,0,6.44768e-05,8.52083e-05,7.68922e-06,0,0,0,0,0,1.25796e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23314e-05,0,0,0,0,2.35543e-05,4.23165e-05,0,0,1.48569e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36243e-05,0,0,1.32942e-05,0,0,0,2.13011e-05,0,0,0,0,1.31654e-05,0,1.25979e-05,0,0,0,7.36374e-05,0,1.18586e-05,2.38229e-05,0,0,0.000102447,0,0,0,0,0
"GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway",9.17937e-05,0,0,0.000313172,0.00032956,0.000317732,7.79991e-05,0.000322162,6.91563e-05,0,0,0.000135147,2.98932e-05,7.35861e-05,0,0,0,0,0,8.33618e-05,7.68692e-05,6.41819e-05,6.40448e-05,0.000102065,6.90015e-05,0,0.000190598,4.85813e-05,0.000131008,0,5.74121e-05,0.000168613,0.000204579,9.12685e-05,5.35881e-05,0.000174993,0,0,0,6.05982e-05,0,0,7.27865e-05,8.49224e-05,0,0,0,6.29007e-05,0.000151102,0.000158966,0,9.40846e-05,7.37419e-05,0.000119958,6.58064e-05,0,0.000114994,8.53411e-05,0,5.27899e-05,0,9.51461e-05,7.47368e-05,6.23589e-05,0,0,0.000119689,0.000294541,7.27579e-05,0.000146381,4.57855e-05,0,5.65915e-05,0.000174263,0,0,0,1.9174e-05,3.72437e-05
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",0,0,0,8.99449e-05,1.61253e-05,9.87038e-05,0,0,0,0,0,1.80925e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106196,0,0,0,0,2.90865e-05,0,0,0,1.92607e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83046e-05,0,2.07299e-05,0,0,0,0.000171944,0,0,0,0,0
